# VAMPIRE TEST REPORT - PORTFOLIO
# Strategy: fixed axioms portfolio, first success wins
# Generated: 2025-12-30 20:42:17
# Timeout: 61s per attempt
# Axioms order: DateArithmetic_TemporalSuiteBest0_PORTFOLIO.tff, DateArithmetic_Best1_PORTFOLIO.tff, DateArithmetic_Completion_SAFE_HEAVY_PLUS_v3.tff
# Raw logs dir: raw_logs
##############################################################################################################
Test                           |     Time | Status               | Result    | Trace
--------------------------------------------------------------------------------------------------------------
test_time_overflow |   1890 ms | Theorem              | SUCCESS   | DateArithmetic_TemporalSuiteBest0_PORTFOLIO.tff:Theorem@1890ms
test_min_roll |   1799 ms | Theorem              | SUCCESS   | DateArithmetic_TemporalSuiteBest0_PORTFOLIO.tff:Theorem@1799ms
test_large_time |   1884 ms | Theorem              | SUCCESS   | DateArithmetic_TemporalSuiteBest0_PORTFOLIO.tff:Theorem@1884ms
test_new_year_time |   1787 ms | Theorem              | SUCCESS   | DateArithmetic_TemporalSuiteBest0_PORTFOLIO.tff:Theorem@1787ms
test_nth_thursday |    395 ms | Theorem              | SUCCESS   | DateArithmetic_TemporalSuiteBest0_PORTFOLIO.tff:Theorem@395ms
test_first_monday |    376 ms | Theorem              | SUCCESS   | DateArithmetic_TemporalSuiteBest0_PORTFOLIO.tff:Theorem@376ms
test_4th_friday |    397 ms | Theorem              | SUCCESS   | DateArithmetic_TemporalSuiteBest0_PORTFOLIO.tff:Theorem@397ms
test_simple_add |    422 ms | Theorem              | SUCCESS   | DateArithmetic_TemporalSuiteBest0_PORTFOLIO.tff:Theorem@422ms
test_month_roll |    382 ms | Theorem              | SUCCESS   | DateArithmetic_TemporalSuiteBest0_PORTFOLIO.tff:Theorem@382ms
test_large_add |    403 ms | Theorem              | SUCCESS   | DateArithmetic_TemporalSuiteBest0_PORTFOLIO.tff:Theorem@403ms
test_simple_sub |    436 ms | Theorem              | SUCCESS   | DateArithmetic_TemporalSuiteBest0_PORTFOLIO.tff:Theorem@436ms
test_back_leap |    381 ms | Theorem              | SUCCESS   | DateArithmetic_TemporalSuiteBest0_PORTFOLIO.tff:Theorem@381ms
test_year_back |   1792 ms | Theorem              | SUCCESS   | DateArithmetic_TemporalSuiteBest0_PORTFOLIO.tff:Theorem@1792ms
test_leap_ok |    386 ms | Theorem              | SUCCESS   | DateArithmetic_TemporalSuiteBest0_PORTFOLIO.tff:Theorem@386ms
test_leap_no |    373 ms | Theorem              | SUCCESS   | DateArithmetic_TemporalSuiteBest0_PORTFOLIO.tff:Theorem@373ms
test_1900 |    374 ms | Theorem              | SUCCESS   | DateArithmetic_TemporalSuiteBest0_PORTFOLIO.tff:Theorem@374ms
test_2000 |    376 ms | Theorem              | SUCCESS   | DateArithmetic_TemporalSuiteBest0_PORTFOLIO.tff:Theorem@376ms
test_add_week |   8882 ms | Theorem              | SUCCESS   | DateArithmetic_TemporalSuiteBest0_PORTFOLIO.tff:Theorem@8882ms
test_next_year |    381 ms | Theorem              | SUCCESS   | DateArithmetic_TemporalSuiteBest0_PORTFOLIO.tff:Theorem@381ms
test_ny_fwd |   1175 ms | Theorem              | SUCCESS   | DateArithmetic_TemporalSuiteBest0_PORTFOLIO.tff:Theorem@1175ms
test_big_jump |    388 ms | Theorem              | SUCCESS   | DateArithmetic_TemporalSuiteBest0_PORTFOLIO.tff:Theorem@388ms
test_2yr_jump |    399 ms | Theorem              | SUCCESS   | DateArithmetic_TemporalSuiteBest0_PORTFOLIO.tff:Theorem@399ms
test_1776 |     46 ms | Theorem              | SUCCESS   | DateArithmetic_TemporalSuiteBest0_PORTFOLIO.tff:Theorem@46ms
test_moon |     33 ms | Theorem              | SUCCESS   | DateArithmetic_TemporalSuiteBest0_PORTFOLIO.tff:Theorem@33ms
test_bttf |     41 ms | Theorem              | SUCCESS   | DateArithmetic_TemporalSuiteBest0_PORTFOLIO.tff:Theorem@41ms
test_1600 |     51 ms | Theorem              | SUCCESS   | DateArithmetic_TemporalSuiteBest0_PORTFOLIO.tff:Theorem@51ms
test_dec_bound |    391 ms | Theorem              | SUCCESS   | DateArithmetic_TemporalSuiteBest0_PORTFOLIO.tff:Theorem@391ms
test_zero |    387 ms | Theorem              | SUCCESS   | DateArithmetic_TemporalSuiteBest0_PORTFOLIO.tff:Theorem@387ms
test_2030 |     33 ms | Theorem              | SUCCESS   | DateArithmetic_TemporalSuiteBest0_PORTFOLIO.tff:Theorem@33ms
test_leap_wk |     31 ms | Theorem              | SUCCESS   | DateArithmetic_TemporalSuiteBest0_PORTFOLIO.tff:Theorem@31ms
test_scale_fwd_1k |    378 ms | Theorem              | SUCCESS   | DateArithmetic_TemporalSuiteBest0_PORTFOLIO.tff:Theorem@378ms
test_scale_fwd_5k |    387 ms | Theorem              | SUCCESS   | DateArithmetic_TemporalSuiteBest0_PORTFOLIO.tff:Theorem@387ms
test_scale_fwd_10k |    380 ms | Theorem              | SUCCESS   | DateArithmetic_TemporalSuiteBest0_PORTFOLIO.tff:Theorem@380ms
test_scale_fwd_50k |    397 ms | Theorem              | SUCCESS   | DateArithmetic_TemporalSuiteBest0_PORTFOLIO.tff:Theorem@397ms
test_scale_fwd_100k |    389 ms | Theorem              | SUCCESS   | DateArithmetic_TemporalSuiteBest0_PORTFOLIO.tff:Theorem@389ms
test_scale_back_1k |    383 ms | Theorem              | SUCCESS   | DateArithmetic_TemporalSuiteBest0_PORTFOLIO.tff:Theorem@383ms
test_scale_back_5k |    388 ms | Theorem              | SUCCESS   | DateArithmetic_TemporalSuiteBest0_PORTFOLIO.tff:Theorem@388ms
test_scale_back_10k |    402 ms | Theorem              | SUCCESS   | DateArithmetic_TemporalSuiteBest0_PORTFOLIO.tff:Theorem@402ms
test_scale_back_50k |    375 ms | Theorem              | SUCCESS   | DateArithmetic_TemporalSuiteBest0_PORTFOLIO.tff:Theorem@375ms
test_scale_back_100k |    374 ms | Theorem              | SUCCESS   | DateArithmetic_TemporalSuiteBest0_PORTFOLIO.tff:Theorem@374ms
test_accel_century_r |   1811 ms | Theorem              | SUCCESS   | DateArithmetic_TemporalSuiteBest0_PORTFOLIO.tff:Theorem@1811ms
test_accel_decade_r |   1801 ms | Theorem              | SUCCESS   | DateArithmetic_TemporalSuiteBest0_PORTFOLIO.tff:Theorem@1801ms
test_accel_quad_r |   1813 ms | Theorem              | SUCCESS   | DateArithmetic_TemporalSuiteBest0_PORTFOLIO.tff:Theorem@1813ms
test_accel_year_r |   1810 ms | Theorem              | SUCCESS   | DateArithmetic_TemporalSuiteBest0_PORTFOLIO.tff:Theorem@1810ms
test_accel_leap_skip |  14031 ms | Theorem              | SUCCESS   | DateArithmetic_TemporalSuiteBest0_PORTFOLIO.tff:Theorem@14031ms
test_accel_back_century |   3537 ms | Theorem              | SUCCESS   | DateArithmetic_TemporalSuiteBest0_PORTFOLIO.tff:Theorem@3537ms
test_accel_back_decade |   1184 ms | Theorem              | SUCCESS   | DateArithmetic_TemporalSuiteBest0_PORTFOLIO.tff:Timeout@60973ms; DateArithmetic_Best1_PORTFOLIO.tff:Timeout@60978ms; DateArithmetic_Completion_SAFE_HEAVY_PLUS_v3.tff:Theorem@1184ms
test_accel_mix_leap |   1176 ms | Theorem              | SUCCESS   | DateArithmetic_TemporalSuiteBest0_PORTFOLIO.tff:Timeout@60985ms; DateArithmetic_Best1_PORTFOLIO.tff:Theorem@1176ms
